symbol,open_time,close_time,net_weighted,net_raw,weight,month,regime
AAVEUSDT,1765526399999,1765555199999,-5.611300,-5.611300,1.0000,2025-12,BTC_UP
BTCUSDT,1765583999999,1766188800000,2.260200,2.260200,1.0000,2025-12,BTC_FLAT
AAVEUSDT,1765641599999,1766044799999,11.212700,11.212700,1.0000,2025-12,BTC_FLAT
ETHUSDT,1765871999999,1766419199999,-4.907400,-4.907400,1.0000,2025-12,BTC_FLAT
XRPUSDT,1765900799999,1766015999999,-4.096000,-4.096000,1.0000,2025-12,BTC_FLAT
DOTUSDT,1766131199999,1766736000000,4.354300,4.354300,1.0000,2025-12,BTC_DOWN
AAVEUSDT,1766131199999,1766361599999,14.055100,14.055100,1.0000,2025-12,BTC_DOWN
XRPUSDT,1766131199999,1766736000000,-0.266100,-0.266100,1.0000,2025-12,BTC_DOWN
BTCUSDT,1766275199999,1766880000000,-0.656300,-0.656300,1.0000,2025-12,BTC_FLAT
ETHUSDT,1766649599999,1767254400000,1.136000,1.136000,1.0000,2026-01,BTC_FLAT
AAVEUSDT,1766735999999,1767340800000,1.905100,1.905100,1.0000,2026-01,BTC_FLAT
DOTUSDT,1766822399999,1767311999999,11.003300,11.003300,1.0000,2026-01,BTC_FLAT
XRPUSDT,1766822399999,1767398399999,6.113800,6.113800,1.0000,2026-01,BTC_FLAT
BTCUSDT,1767052799999,1767513599999,4.375000,4.375000,1.0000,2026-01,BTC_FLAT
ETHUSDT,1767340799999,1767369599999,-2.323400,-2.323400,1.0000,2026-01,BTC_FLAT
ETHUSDT,1767455999999,1767599999999,-2.508200,-2.508200,1.0000,2026-01,BTC_FLAT
AAVEUSDT,1767455999999,1767599999999,-4.432000,-4.432000,1.0000,2026-01,BTC_FLAT
BTCUSDT,1767657599999,1767859199999,3.696700,3.696700,1.0000,2026-01,BTC_UP
DOTUSDT,1767686399999,1767974399999,-5.664400,-5.664400,1.0000,2026-01,BTC_UP
AAVEUSDT,1767686399999,1768291200000,1.269900,1.269900,1.0000,2026-01,BTC_UP
ETHUSDT,1767801599999,1767887999999,-3.322000,-3.322000,1.0000,2026-01,BTC_UP
XRPUSDT,1767801599999,1767887999999,-5.182300,-5.182300,1.0000,2026-01,BTC_UP
ETHUSDT,1767974399999,1768348799999,-3.462400,-3.462400,1.0000,2026-01,BTC_FLAT
