symbol,close_time,weighted_pnl,cum_wpnl,peak_30d,dd_30d,period,brake_state,action
TRXUSDT,1675382399999,-1.8695,4.0976,5.967099999999999,1.8694999999999995,IS,off,taken
TRXUSDT,1675871999999,-1.5341,2.5635,5.967099999999999,3.4035999999999995,IS,off,taken
TRXUSDT,1676447999999,-2.186,0.37749999999999995,5.967099999999999,5.589599999999999,IS,off,taken
TRXUSDT,1677283199999,-1.8922,-1.5147000000000002,5.967099999999999,7.4818,IS,off,taken
TRXUSDT,1678809599999,-3.1002,-4.6149000000000004,0.37749999999999995,4.9924,IS,off,taken
TRXUSDT,1679097599999,-3.0837,-7.698600000000001,-1.5147000000000002,6.1839,IS,off,taken
TRXUSDT,1684137599999,-0.8809,-8.579500000000001,-8.579500000000001,0.0,IS,off,taken
TRXUSDT,1687046400000,2.8635,-5.716000000000001,-5.716000000000001,0.0,IS,off,taken
TRXUSDT,1688745599999,-0.6873,-6.4033000000000015,-5.716000000000001,0.6873000000000005,IS,off,taken
TRXUSDT,1690012799999,-1.2017,-7.605000000000001,-6.4033000000000015,1.2016999999999998,IS,off,taken
TRXUSDT,1694764799999,-0.9743,-8.579300000000002,-8.579300000000002,0.0,IS,off,taken
TRXUSDT,1696204799999,-0.6928,-9.272100000000002,-8.579300000000002,0.6928000000000001,IS,off,taken
TRXUSDT,1696867199999,-1.2762,-10.548300000000001,-8.579300000000002,1.9689999999999994,IS,off,taken
TRXUSDT,1697126399999,-1.0679,-11.616200000000001,-8.579300000000002,3.0368999999999993,IS,off,taken
TRXUSDT,1697443199999,0.8562,-10.760000000000002,-9.272100000000002,1.4878999999999998,IS,off,taken
TRXUSDT,1697788799999,1.075,-9.685000000000002,-9.272100000000002,0.4129000000000005,IS,off,taken
TRXUSDT,1698163199999,0.0,-9.685000000000002,-9.272100000000002,0.4129000000000005,IS,off,taken
TRXUSDT,1698595199999,0.0,-9.685000000000002,-9.272100000000002,0.4129000000000005,IS,off,taken
TRXUSDT,1698796799999,0.0,-9.685000000000002,-9.272100000000002,0.4129000000000005,IS,off,taken
TRXUSDT,1699372799999,-1.4394,-11.124400000000001,-9.685000000000002,1.4393999999999991,IS,off,taken
TRXUSDT,1699574399999,-1.4333,-12.5577,-9.685000000000002,2.8726999999999983,IS,off,taken
TRXUSDT,1700582399999,-2.0988,-14.656500000000001,-9.685000000000002,4.971499999999999,IS,off,taken
TRXUSDT,1700899199999,3.5598,-11.096700000000002,-9.685000000000002,1.4116999999999997,IS,off,taken
TRXUSDT,1701100799999,-1.4692,-12.565900000000003,-9.685000000000002,2.8809000000000005,IS,off,taken
TRXUSDT,1702339199999,-1.7626,-14.328500000000002,-11.096700000000002,3.2318,IS,off,taken
