feature,in_19col,ic_full,n_full,n_subperiods,frac_same_sign,mean_abs_ic,ic_dispersion,worst_signed_ic,recent_ic,recent_same_sign,stability_score,ic_2020-01-01,ic_2020-07-01,ic_2020-12-31,ic_2021-07-01,ic_2021-12-31,ic_2022-07-01,ic_2022-12-31,ic_2023-07-01,ic_2023-12-31,ic_2024-06-30,ic_2024-12-30
mom_mom_15,False,0.0043,5703,11,0.545,0.0741,0.1049,-0.2463,-0.2014,False,0.0404,-0.041,0.0318,0.0625,0.0118,0.0277,-0.2463,0.0676,-0.0132,0.0383,-0.0729,-0.2014
regime_momentum_signed_5d,False,0.0135,5619,11,0.545,0.0732,0.1081,-0.2468,-0.2072,False,0.03993,-0.0171,0.021,0.0805,0.0161,0.0152,-0.2468,0.0824,-0.0124,0.0449,-0.0616,-0.2072
mr_pct_from_low_5,False,0.0206,5714,11,0.727,0.0544,0.0637,-0.077,0.0045,True,0.03958,0.0276,0.1026,-0.077,-0.0562,0.066,-0.0534,0.1005,0.0047,0.0228,0.0836,0.0045
trend_ema_cross_12_50,False,0.033,5669,11,0.455,0.0866,0.1125,-0.237,-0.2192,False,0.03936,-0.0348,0.113,0.0323,0.0592,-0.0897,-0.237,-0.037,0.064,0.0269,-0.0392,-0.2192
vol_atr_5,True,-0.0304,5714,11,0.545,0.0717,0.0854,-0.1795,0.0574,False,0.03914,-0.0672,0.1795,-0.0994,-0.0216,0.087,-0.0503,-0.0338,0.09,-0.0452,0.0579,0.0574
mr_dist_sma_50,False,0.0348,5669,11,0.545,0.0709,0.0987,-0.224,-0.224,False,0.03869,-0.0516,0.0985,0.0193,0.0521,-0.0592,-0.1749,0.0322,-0.0069,0.0484,0.0131,-0.224
trend_supertrend_7_3,False,0.0432,5711,11,0.364,0.106,0.1271,-0.229,-0.229,False,0.03856,0.1146,-0.0907,0.1134,0.1738,-0.0243,-0.1501,-0.0357,-0.0699,0.1219,-0.0431,-0.229
funding_rate_zscore_90,False,-0.014,5628,11,0.545,0.0706,0.0851,-0.1007,0.0214,False,0.03852,0.0509,0.0169,-0.039,0.0976,-0.1383,-0.1308,-0.0522,-0.1115,0.1007,-0.0175,0.0214
mr_pct_from_high_5,True,-0.0234,5714,11,0.636,0.0605,0.0628,-0.0299,-0.0585,True,0.03848,-0.079,-0.079,-0.0805,-0.174,0.0139,-0.0273,0.0173,-0.0893,0.0164,0.0299,-0.0585
vol_range_spike_36,False,0.0232,5683,11,0.727,0.0527,0.0594,-0.079,0.1398,True,0.03832,-0.0366,0.048,-0.0128,0.0521,-0.079,0.0076,0.0636,0.0289,0.0816,0.0295,0.1398
cusum_norm_2s,False,-0.0131,5717,11,0.727,0.0521,0.0591,-0.0759,-0.05,True,0.03787,-0.0974,-0.0908,-0.0671,-0.0177,0.0332,-0.0039,-0.0076,-0.103,0.026,0.0759,-0.05
ent_shannon_50,False,0.0148,5668,11,0.455,0.0833,0.1082,-0.1349,-0.0323,False,0.03786,-0.0368,0.2286,0.0126,0.0858,-0.015,0.1258,-0.1198,0.0698,-0.055,-0.1349,-0.0323
mr_bb_pctb_30,False,0.0069,5689,11,0.455,0.0827,0.1154,-0.2516,-0.2516,False,0.0376,-0.0556,0.0318,0.0383,-0.0362,0.0902,-0.2373,0.0916,-0.0387,0.0198,-0.0186,-0.2516
mr_zscore_30,False,0.0069,5689,11,0.455,0.0827,0.1154,-0.2516,-0.2516,False,0.0376,-0.0556,0.0318,0.0383,-0.0362,0.0902,-0.2373,0.0916,-0.0387,0.0198,-0.0186,-0.2516
vol_bb_pctb_30,False,0.0069,5689,11,0.455,0.0827,0.1154,-0.2516,-0.2516,False,0.0376,-0.0556,0.0318,0.0383,-0.0362,0.0902,-0.2373,0.0916,-0.0387,0.0198,-0.0186,-0.2516
mr_bb_pctb_20,False,0.0077,5699,11,0.455,0.0821,0.1049,-0.2251,-0.1772,False,0.03733,-0.0814,0.0247,0.0308,-0.0563,0.0819,-0.2251,0.1122,-0.0219,0.0575,-0.0344,-0.1772
vol_bb_pctb_20,False,0.0077,5699,11,0.455,0.0821,0.1049,-0.2251,-0.1772,False,0.03733,-0.0814,0.0247,0.0308,-0.0563,0.0819,-0.2251,0.1122,-0.0219,0.0575,-0.0344,-0.1772
