symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,slippage_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence
BTCUSDT,-1,26460.700000,27057.623184,0.3300,1692863999999,1693324799999,stop_loss,-2.2559,0.1000,0.0400,-2.3959,-0.7906,27057.623184,25266.853633,1693468799999,0.200000
BTCUSDT,-1,27290.400000,25989.541882,0.3300,1693439999999,1693526399999,take_profit,4.7667,0.1000,0.0400,4.6267,1.5268,27940.829059,25989.541882,1694044799999,0.350000
BTCUSDT,-1,25783.900000,25871.000000,0.3300,1693641599999,1694246400000,timeout,-0.3378,0.1000,0.0400,-0.4778,-0.1577,26493.665741,24364.368518,1694246399999,0.100000
BTCUSDT,-1,25843.000000,25016.140251,0.3300,1694332799999,1694447999999,take_profit,3.1996,0.1000,0.0400,3.0596,1.0097,26256.429874,25016.140251,1694937599999,0.050000
BTCUSDT,1,26209.900000,27107.700000,0.3300,1694649599999,1695254400000,timeout,3.4254,0.1000,0.0400,3.2854,1.0842,25561.723675,27506.252650,1695254399999,0.600000
BTCUSDT,-1,26552.600000,27141.774507,0.3300,1695340799999,1695945599999,stop_loss,-2.2189,0.1000,0.0400,-2.3589,-0.7784,27141.774507,25374.250986,1695945599999,0.150000
BTCUSDT,-1,26890.900000,27404.102856,0.3300,1696031999999,1696204799999,stop_loss,-1.9085,0.1000,0.0400,-2.0485,-0.6760,27404.102856,25864.494288,1696636799999,0.050000
BTCUSDT,-1,27528.100000,28179.800465,0.3300,1696319999999,1696636799999,stop_loss,-2.3674,0.1000,0.0400,-2.5074,-0.8274,28179.800465,26224.699070,1696924799999,0.700000
BTCUSDT,-1,27943.000000,26811.307443,0.3300,1696723199999,1697039999999,take_profit,4.0500,0.1000,0.0400,3.9100,1.2903,28508.846278,26811.307443,1697327999999,0.450000
BTCUSDT,1,26665.400000,27694.738535,0.3300,1697126399999,1697443199999,take_profit,3.8602,0.1000,0.0400,3.7202,1.2277,26150.730733,27694.738535,1697731199999,0.300000
BTCUSDT,1,28307.100000,29904.073066,0.3300,1697673599999,1697817599999,take_profit,5.6416,0.1000,0.0400,5.5016,1.8155,27508.613467,29904.073066,1698278399999,0.150000
BTCUSDT,-1,34151.900000,35080.011611,0.3300,1698739199999,1698854399999,stop_loss,-2.7176,0.1000,0.0400,-2.8576,-0.9430,35080.011611,32295.676777,1699343999999,0.350000
BTCUSDT,1,34645.200000,36851.765820,0.3300,1698940799999,1699516799999,take_profit,6.3690,0.1000,0.0400,6.2290,2.0556,33541.917090,36851.765820,1699545599999,0.200000
