symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence,component_id
LINKUSDT,-1,6.192000,6.543951,0.3300,1687708799999,1688313599999,stop_loss,-1.1368,0.1000,-1.1568,-0.38174,6.543951,5.488098,1688313599999,0.766531,C-LINK
DOTUSDT,1,4.877000,5.387943,0.3300,1687996799999,1688313599999,take_profit,2.09532,0.1000,2.07532,0.68486,4.621529,5.387943,1688601599999,0.752977,C-DOT
BTCUSDT,-1,30458.000000,30612.700000,0.3300,1687737599999,1688342400000,timeout,-0.10158,0.1000,-0.12158,-0.04012,31347.521545,28678.956910,1688342399999,0.746881,C-BTC
ETHUSDT,1,1917.870000,1859.080301,0.3300,1688313599999,1688687999999,stop_loss,-0.61308,0.1000,-0.63308,-0.20892,1859.080301,2035.449398,1688918399999,0.632934,C-ETH
BTCUSDT,-1,30902.300000,30528.600000,0.3300,1688457599999,1689062400000,timeout,0.24186,0.1000,0.22186,0.07322,31632.380221,29442.139558,1689062399999,0.764904,C-BTC
LTCUSDT,-1,103.830000,100.220000,0.3300,1688630399999,1689235200000,timeout,0.69536,0.1000,0.67536,0.22288,112.555970,86.378060,1689235199999,0.823181,C-LTC
LINKUSDT,-1,6.257000,6.480261,0.3300,1689148799999,1689263999999,stop_loss,-0.71364,0.1000,-0.73364,-0.2421,6.480261,5.810479,1689753599999,0.709953,C-LINK
BTCUSDT,-1,30730.800000,31356.282696,0.3300,1689148799999,1689292799999,stop_loss,-0.40708,0.1000,-0.42708,-0.14094,31356.282696,29479.834609,1689753599999,0.941720,C-BTC
ETHUSDT,1,1858.350000,1954.262658,0.3300,1688831999999,1689292799999,take_profit,1.03224,0.1000,1.01224,0.33404,1810.393671,1954.262658,1689436799999,0.722846,C-ETH
DOTUSDT,1,5.114000,5.648730,0.3300,1688774399999,1689321599999,take_profit,2.09124,0.1000,2.07124,0.6835,4.846635,5.648730,1689379199999,0.832172,C-DOT
LINKUSDT,1,6.914000,6.559595,0.3300,1689465599999,1689551999999,stop_loss,-1.02518,0.1000,-1.04518,-0.3449,6.559595,7.622810,1690070399999,0.923614,C-LINK
BTCUSDT,-1,30317.600000,29932.900000,0.3300,1689407999999,1690012800000,timeout,0.25378,0.1000,0.23378,0.07714,31108.983711,28734.832578,1690012799999,0.837376,C-BTC
ETHUSDT,-1,1940.770000,1890.800000,0.3300,1689407999999,1690012800000,timeout,0.51496,0.1000,0.49496,0.16334,1996.509000,1829.292000,1690012799999,0.638590,C-ETH
BTCUSDT,-1,29900.900000,28926.713012,0.3300,1690099199999,1690214399999,take_profit,0.65162,0.1000,0.63162,0.20844,30387.993494,28926.713012,1690703999999,0.812237,C-BTC
LTCUSDT,1,94.500000,90.345079,1.0000,1690012799999,1690214399999,stop_loss,-0.87934,0.1000,-0.89934,-0.89934,90.345079,102.809842,1690617599999,0.803336,C-LTC
DOTUSDT,1,5.299000,5.206000,1.0000,1689638399999,1690243200000,timeout,-0.351,0.1000,-0.371,-0.371,5.033688,5.829625,1690243199999,0.830586,C-DOT
LINKUSDT,-1,7.999000,7.764000,0.3300,1690099199999,1690704000000,timeout,0.58758,0.1000,0.56758,0.1873,8.560109,6.876782,1690703999999,0.831841,C-LINK
ETHUSDT,1,1855.390000,1829.977379,0.3300,1690847999999,1690876799999,stop_loss,-0.27394,0.1000,-0.29394,-0.097,1829.977379,1906.215241,1691452799999,0.628068,C-ETH
LTCUSDT,1,91.100000,88.451101,1.0000,1690646399999,1690876799999,stop_loss,-0.58154,0.1000,-0.60154,-0.60154,88.451101,96.397797,1691251199999,0.858814,C-LTC
BTCUSDT,-1,29167.000000,28943.000000,0.3300,1690300799999,1690905600000,timeout,0.1536,0.1000,0.1336,0.04408,29680.631341,28139.737318,1690905599999,0.818690,C-BTC
LINKUSDT,-1,7.599000,7.186000,0.3300,1690790399999,1691395200000,timeout,1.08698,0.1000,1.06698,0.3521,7.966094,6.864811,1691395199999,0.835243,C-LINK
DOTUSDT,-1,5.204000,4.837928,1.0000,1690934399999,1691452799999,take_profit,1.40688,0.1000,1.38688,1.38688,5.387036,4.837928,1691539199999,0.766667,C-DOT
BTCUSDT,-1,29170.100000,29724.453289,0.3300,1691020799999,1691539199999,stop_loss,-0.38008,0.1000,-0.40008,-0.13202,29724.453289,28061.393422,1691625599999,0.876312,C-BTC
LINKUSDT,-1,7.360000,7.676355,0.3300,1691510399999,1691596799999,stop_loss,-0.85966,0.1000,-0.87966,-0.29028,7.676355,6.727289,1692115199999,0.676051,C-LINK
ETHUSDT,-1,1846.600000,1845.030000,0.3300,1691164799999,1691769600000,timeout,0.017,0.1000,-0.003,-0.00098,1879.555592,1780.688816,1691769599999,0.724567,C-ETH
LINKUSDT,1,7.670000,7.330230,0.3300,1691683199999,1691971199999,stop_loss,-0.88598,0.1000,-0.90598,-0.29898,7.330230,8.349540,1692287999999,0.848061,C-LINK
LINKUSDT,1,7.409000,7.123375,0.3300,1692057599999,1692143999999,stop_loss,-0.77102,0.1000,-0.79102,-0.26104,7.123375,7.980250,1692662399999,0.960832,C-LINK
DOTUSDT,-1,5.056000,4.752976,1.0000,1691539199999,1692143999999,take_profit,1.19866,0.1000,1.17866,1.17866,5.207512,4.752976,1692143999999,0.766667,C-DOT
ETHUSDT,-1,1849.140000,1807.898674,0.3300,1691884799999,1692230399999,take_profit,0.44606,0.1000,0.42606,0.1406,1869.760663,1807.898674,1692489599999,0.677960,C-ETH
BTCUSDT,-1,29504.000000,28523.764332,0.3300,1691654399999,1692259199999,take_profit,0.66448,0.1000,0.64448,0.21268,29994.117834,28523.764332,1692259199999,0.824563,C-BTC
DOTUSDT,-1,4.529000,4.497000,1.0000,1692460799999,1693065600000,timeout,0.14132,0.1000,0.12132,0.12132,4.767345,4.052309,1693065599999,0.766667,C-DOT
DOTUSDT,-1,4.502000,4.625975,0.3300,1693151999999,1693295999999,stop_loss,-0.55076,0.1000,-0.57076,-0.18834,4.625975,4.254049,1693756799999,0.766667,C-DOT
BTCUSDT,-1,26164.600000,26777.436102,0.3300,1692921599999,1693324799999,stop_loss,-0.46844,0.1000,-0.48844,-0.16118,26777.436102,24938.927796,1693526399999,0.839599,C-BTC
LINKUSDT,-1,6.010000,6.293471,0.3300,1693007999999,1693324799999,stop_loss,-0.94334,0.1000,-0.96334,-0.3179,6.293471,5.443058,1693612799999,0.648835,C-LINK
